protein	pc.1	pc.2	
bacteria_secretome_Gen	-0.1893636718563762	0.009062270980043632	
bacteria_secretome_MS	-0.10925970678453609	0.1434816873601046	
cotton_cell_Gen	-0.17299590334893336	-0.03773921543338419	
cotton_cell_MS	-0.18326295406252915	-0.06049980093528268	
human_cell_Gen	0.0028922207728110006	-0.10268623607448694	
human_cell_MS	0.10533949035940164	-0.05028731180350307	
human_secretome_Gen	0.03373227495676015	-0.07532506197794288	
human_secretome_MS	0.43940266562698366	-0.07189512727225789	
moss_cell_Gen	-0.058038233103475424	0.038666431364716404	
moss_cell_MS	0.1188337366754381	0.08545192577837663	
moss_secretome_Gen	-0.028551546474205533	0.11538910774937948	
moss_secretome_MS	0.18464399396584583	0.1445647185947013	
yeast_cell_Gen	-0.11889667921318225	-0.05096021617421587	
yeast_cell_MS	-0.024475687514002375	-0.0872231721562468	
