protein	pc.1	pc.2	
bacteria_secretome_Gen	-0.037531392682334797	0.004848611495648747	
bacteria_secretome_MS	-0.06456297829769678	0.016642038182009357	
cotton_cell_Gen	-0.026211842252189272	-0.022083044662667698	
cotton_cell_MS	-0.029160003260283406	-0.02482496059343439	
human_cell_Gen	0.023548894912626652	-0.015571441196771747	
human_cell_MS	0.03278169385796992	-0.006708084197265227	
human_secretome_Gen	0.04416528552655284	-0.007838438870260445	
human_secretome_MS	0.09822721800903776	-0.02384342337143581	
moss_cell_Gen	-0.024772497000531142	0.006899457280430232	
moss_cell_MS	-0.0014823887242746455	0.02466362419595997	
moss_secretome_Gen	0.007729373863190112	0.03335271212806274	
moss_secretome_MS	0.035429742030157925	0.055675221401634875	
yeast_cell_Gen	-0.03222254545492206	-0.021752224676422897	
yeast_cell_MS	-0.025938560527303475	-0.019460047115487922	
